#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl
,,North America,,"33,504,423","+8,089","758,226",+807,"23,176,861","+5,248","9,569,336","21,638",,,,,,North America,,,,
,,Asia,,"24,937,210","+1,190","397,560",+8,"23,447,478","+1,173","1,092,172","21,838",,,,,,Asia,,,,
,,South America,,"17,936,527",+656,"465,612",+19,"16,204,452",+603,"1,266,463","18,928",,,,,,South America,,,,
,,Europe,,"34,030,247",,"811,393",,"23,589,003",,"9,629,851","25,346",,,,,,Europe,,,,
,,Africa,,"3,915,198",,"103,643",,"3,475,121",,"336,434","2,528",,,,,,Africa,,,,
,,Oceania,,"51,161",+9,"1,088",,"34,279",+7,"15,794",6,,,,,,Australia/Oceania,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,
,World,"114,375,487","+9,944","2,537,537",+834,"89,927,900","+7,031","21,910,050","90,284","14,673",325.5,,,,All,,,,
109,Malawi,"31,798",,"1,041 ",,"18,424",,"12,333",4,"1,635",54,"197,007","10,128","19,452,627 ",Africa,"61218,68699"
110,Australia,"28,970",+5,909 ,,"26,168",+2,"1,893",,"1,127",35,"14,346,034","558,330","25,694,525 ",Australia/Oceania,"88728,2672"
111,Botswana,"28,371",,310 ,,"23,244",,"4,817",1,"11,907",130,"805,587","338,096","2,382,720 ",Africa,"847,6863"
112,Sudan,"28,334",,"1,880 ",,"22,887",,"3,567",,636,42,,,"44,518,501 ",Africa,"1,57123,680"
113,Thailand,"25,881",,83 ,,"25,022",,776,1,370,1,"1,217,873","17,419","69,915,721 ",Asia,"2,701842,35857"
114,DRC,"25,792",,707 ,,"18,951",,"6,134",,282,8,,,"91,334,147 ",Africa,"3,541129,185"
115,Jamaica,"22,817",,417 ,,"13,318",,"9,082",20,"7,683",140,"205,746","69,282","2,969,701 ",North America,"1307,12214"
116,Malta,"22,219",,313 ,,"19,255",,"2,651",18,"50,233",708,"695,192","1,571,695","442,320 ",Europe,"201,4131"
117,Angola,"20,782",,506 ,,"19,315",,961,14,620,15,"188,630","5,625","33,531,626 ",Africa,"1,61366,268178"
118,Madagascar,"19,831",,297 ,,"19,296",,238,23,704,11,"119,608","4,248","28,155,738 ",Africa,"1,42094,800235"
119,Maldives,"19,597",,61 ,,"17,132",,"2,404",162,"35,840",112,"518,663","948,565","546,787 ",Asia,"288,9641"
120,Rwanda,"18,790",,261 ,,"17,307",,"1,222",11,"1,428",20,"1,004,667","76,331","13,161,924 ",Africa,"70050,42913"
